ID	URL	Type	Label
1498022438398877704	https://twitter.com/manuela_carloni/status/1498022438398877704	tweet	1
1498003150414008322	https://twitter.com/Silvano05230100/status/1498003150414008322	tweet	2
1497887473862467584	https://twitter.com/barbarameletto/status/1497887473862467584	tweet	2
1497838543619645441	https://twitter.com/_dani_ta_6/status/1497838543619645441	tweet	2
1497639979534667783	https://twitter.com/GabrieleGranato/status/1497639979534667783	tweet	2
1497624763396546561	https://twitter.com/nonleggerlo/status/1497624763396546561	tweet	1
1497614216827711495	https://twitter.com/CorriereUmbria/status/1497614216827711495	tweet	3
1497599806201647105	https://twitter.com/sulsitodisimone/status/1497599806201647105	tweet	1
1497598337570074626	https://twitter.com/fisco24_info/status/1497598337570074626	tweet	1
1497555006286872584	https://twitter.com/qgiovi/status/1497555006286872584	tweet	2
1497521878319042560	https://twitter.com/michael_goldmrk/status/1497521878319042560	tweet	2
1497493024695152645	https://twitter.com/ilSicilia/status/1497493024695152645	tweet	3
1497491399620636678	https://twitter.com/oggitreviso/status/1497491399620636678	tweet	2
1497469243062771717	https://twitter.com/fisco24_info/status/1497469243062771717	tweet	3
1497225578528784396	https://twitter.com/blogsicilia/status/1497225578528784396	tweet	0
1496958201270616073	https://twitter.com/gmorsello_/status/1496958201270616073	tweet	3
1496883123354804225	https://twitter.com/OliviaBucca/status/1496883123354804225	tweet	1
1496839348016201729	https://twitter.com/quotidianodirg/status/1496839348016201729	tweet	1
1496810148177670148	https://twitter.com/SecolodItalia1/status/1496810148177670148	tweet	2
1496781589338066945	https://twitter.com/quotidianodirg/status/1496781589338066945	tweet	2
1496772412897067014	https://twitter.com/lettera_mosca/status/1496772412897067014	tweet	1
1496749412697227264	https://twitter.com/MisterRockin/status/1496749412697227264	tweet	2
1509159553874731009	https://twitter.com/ziggymagenta_d/status/1509159553874731009	tweet	1
1508472943663357963	https://twitter.com/DavidPuente/status/1508472943663357963	tweet	2
1508447167907831808	https://twitter.com/CorriereUmbria/status/1508447167907831808	tweet	2
1508405429587652608	https://twitter.com/robertam67/status/1508405429587652608	tweet	1
